"","BU207","BU208","BU211","BU301","BU304","CR108","CR109","CR125","CR132","EH152","EH153","ES171","ES174","ES189","ES246","ES355","ES409","ES440","ES618","ES828","GR135","GR141","IT113","IT148","IT151","IT152","IT164","IT165","IT167","IT168","IT317","IT321","PO145","PO241","PO254","SE127","SE129","SE130","SE134","SL143"
"OTU1",0,0,0.000544872220819435,0,0,0,0.00345804241865367,0,0,0,0.984878385125657,0,0,0,0,0,0,0.103611194703581,0,0,0,0,0,0,0,0,0,0.0578668867420749,0,0,0.00620922463400556,0.000791884548694073,0.000936540490557538,0,0,0,0.191073108165883,0,0,0
"OTU10",0,0,0,0.0224239922960517,0,0,0,0,0,0,0.000356641860243943,0.0564075584831145,0.105352431209951,0,0,0.0753471955804496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU100",0.00927066830956991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543612727182757
"OTU1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507395832015285,0,0,0,0,0,0
"OTU1008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756983785895683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU101",0,0,0,0,0,0,0,0,0.0049360321626972,0,0,0,0,0,0,0,0,0,0,0,0,0.00825103643533655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1010",0,0,0,0,0,0,0.00466835726518245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103966853372209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU102",0,0,0,0.013147809681033,0,0,0,0,0,0,0,0.00131884287752778,0.0877217513952555,0.000478927203065134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229223955162787,0,0,0.0834587981458869,0,0,0,0,0,0,0
"OTU1022",0,0,0,0,0,0,0,0,0,0,0,0.00130442929416682,0.00392130637257882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270292698540657,0,0,0,0,0,0,0
"OTU1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321830234551274,0,0,0,0,0,0,0,0,0
"OTU1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294583572078601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU104",0,0,0,0,0,0,0,0,0,0,0,0.00100895083526716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981173729073404,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1044",0,0,0,0,0,0,0,0,0.00277324775218677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148345066377853,0,0,0,0,0,0,0,0,0,0,0
"OTU1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318177222016246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1051",0,0.00589033133113738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1053",0,0,0,0,0,0,0,0,0,0,0,0,0.00342886324672009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039714058776807,0,0,0,0,0,0,0
"OTU1062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215713370858472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268549067751093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118733739588972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1072",0,0,0,0,0,0,0,0,0,0,0,0.00152063304458121,0.00384835183541456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201534029613647,0,0,0,0,0,0,0
"OTU1078",0,0,0,0,0,0,0.00249473060202872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1079",0,0,0,0,0,0,0,0,0.00217150531539153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355648287553495,0,0,0,0,0,0,0
"OTU1091",0,0,0,0,0,0,0,0,0,0,0,0,0.0021947156596914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1092",0,0,0,0,0,0.00362538637085825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1096",0,0,0,0,0,0.00273709449114597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU110",0,0.000600658787056772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796252245254624,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281101486399946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291276275547357,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473431106066489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1115",0,0,0,0,0,0,0,0,0.00627905151438513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233002372006129,0,0,0,0,0,0,0,0,0,0
"OTU1118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191820762679352,0,0,0,0,0,0,0,0,0,0,0,0,0.00567780895649748,0,0,0,0,0,0,0,0,0,0,0
"OTU1120",0,0,0,0,0,0,0.0023712290870768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00656718106050431
"OTU1135",0,0,0,0,0,0,0,0,0,0,0,0.000518889000994537,0.00141045438517564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020776362115146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU114",0,0,0,0,0,0.00179102752982639,0.418423132657094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741514712325997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1147",0,0,0,0,0,0,0,0,0.000662788770962875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1148",0,0,0,0,0,0,0,0,0,0,0,0.00174404358667608,0.000699147647824131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045700289733863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804189824711415,0,0,0
"OTU1162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331146133562274,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360390264720875,0,0,0,0,0,0,0
